NO_OF_SAMPLES	3000
TOT_NO_OF_CHAN	6
FREQUENCY	100.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2018-06-12, 12:03:29	3873.90348709
FIRST_SAMPLE	1
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Fx	Fy	Fz	Mx	My	Mz
CHANNEL_GAIN	1	1	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
-0.000763	-0.008392	0.767681	0.034943	0.089570	0.002899	
-0.000458	-0.007782	0.767681	0.035248	0.091402	0.003815	
-0.001678	-0.006867	0.767071	0.034943	0.093233	0.003510	
-0.002594	-0.006561	0.766461	0.035859	0.094759	0.003815	
-0.002289	-0.008392	0.768902	0.036164	0.095674	0.003815	
-0.001678	-0.008392	0.769207	0.035248	0.097200	0.005035	
-0.002289	-0.008087	0.772564	0.034943	0.098726	0.005646	
0.001068	-0.008392	0.775311	0.034333	0.100252	0.005035	
-0.000153	-0.009308	0.775006	0.033722	0.101472	0.005341	
0.001068	-0.009003	0.772869	0.033722	0.102693	0.003815	
0.000153	-0.008087	0.770428	0.035248	0.102388	0.005646	
0.000153	-0.009003	0.769818	0.034333	0.100862	0.005951	
-0.000458	-0.008698	0.766155	0.034333	0.100862	0.005646	
-0.002289	-0.008087	0.764324	0.035248	0.101472	0.005646	
-0.001678	-0.008392	0.764935	0.035248	0.102388	0.005341	
-0.002289	-0.007782	0.763714	0.035248	0.101472	0.005341	
-0.002899	-0.009308	0.764324	0.035859	0.102388	0.005341	
-0.004120	-0.008087	0.765240	0.035554	0.102388	0.005646	
-0.005035	-0.007782	0.766155	0.036469	0.102693	0.003815	
-0.005646	-0.008087	0.766461	0.037995	0.101472	0.005035	
-0.005646	-0.006867	0.767987	0.037385	0.101778	0.005035	
-0.005035	-0.006256	0.767987	0.037079	0.100862	0.005646	
-0.005951	-0.006561	0.767987	0.039216	0.098726	0.005646	
-0.005951	-0.006561	0.768902	0.039826	0.096590	0.005341	
-0.004425	-0.006256	0.767987	0.040131	0.095064	0.005646	
-0.005035	-0.005646	0.770428	0.041047	0.093538	0.005951	
-0.003815	-0.005951	0.769818	0.041352	0.090486	0.005341	
-0.003204	-0.005035	0.769207	0.043793	0.087434	0.005646	
-0.003204	-0.004730	0.769207	0.043793	0.085603	0.005951	
-0.002594	-0.003815	0.769818	0.045319	0.083162	0.005035	
-0.001068	-0.004120	0.768292	0.045930	0.082246	0.006867	
-0.000763	-0.002899	0.767987	0.047150	0.080415	0.005341	
-0.000763	-0.002899	0.767987	0.047456	0.078889	0.005646	
0.001678	-0.002594	0.767987	0.048066	0.077974	0.006256	
0.001984	-0.002594	0.768292	0.047761	0.076143	0.005341	
0.004120	-0.002289	0.769207	0.047761	0.074922	0.005951	
0.003204	-0.001984	0.768292	0.048981	0.072786	0.005951	
0.005035	-0.001678	0.767987	0.049287	0.071870	0.005646	
0.007172	-0.001068	0.767681	0.049287	0.068513	0.005035	
0.008087	-0.001678	0.768292	0.049592	0.066377	0.005035	
0.009308	-0.002289	0.767987	0.049897	0.065766	0.004425	
0.008392	-0.002899	0.768292	0.049592	0.064240	0.005035	
0.009918	-0.003204	0.770123	0.051118	0.063020	0.003510	
0.009918	-0.002289	0.769207	0.051728	0.062715	0.005035	
0.010529	-0.002289	0.769207	0.051118	0.061189	0.003204	
0.009613	-0.002289	0.769818	0.050202	0.060578	0.002899	
0.011444	-0.001678	0.768902	0.049287	0.061189	0.002289	
0.011444	-0.002594	0.767681	0.049897	0.061189	0.002899	
0.009918	-0.002594	0.768902	0.050202	0.060883	0.002289	
0.010529	-0.001678	0.766766	0.049592	0.059663	0.003510	
0.009613	-0.002289	0.767987	0.049592	0.060273	0.002899	
0.009613	-0.002594	0.768292	0.049592	0.060578	0.001984	
0.009003	-0.002289	0.767681	0.049897	0.061189	0.003204	
0.008392	-0.001984	0.766766	0.050507	0.060273	0.003204	
0.009003	-0.001984	0.769207	0.050507	0.059968	0.003510	
0.008392	-0.001984	0.769207	0.049897	0.059052	0.003204	
0.008087	-0.000763	0.769207	0.050202	0.059968	0.003204	
0.008392	-0.002289	0.768292	0.050202	0.058747	0.003510	
0.009003	-0.000763	0.769818	0.049287	0.059663	0.002289	
0.009003	-0.001678	0.768902	0.049592	0.058137	0.002899	
0.009918	-0.000763	0.768292	0.051118	0.057221	0.003815	
0.009308	-0.001678	0.769207	0.049592	0.058442	0.003815	
0.009003	-0.001984	0.770123	0.050202	0.059663	0.004120	
0.008087	-0.000458	0.768902	0.050202	0.059968	0.005035	
0.009003	-0.001678	0.772259	0.050507	0.061799	0.004425	
0.008392	-0.000153	0.770733	0.050507	0.061799	0.005646	
0.008087	-0.001068	0.771649	0.049287	0.062104	0.005646	
0.008392	-0.000763	0.770733	0.047761	0.063325	0.004425	
0.009613	-0.001984	0.770733	0.047150	0.063325	0.003510	
0.009003	-0.001984	0.768902	0.045930	0.064546	0.003510	
0.010529	-0.002289	0.768292	0.046235	0.066072	0.002899	
0.010529	-0.003204	0.767071	0.045624	0.065766	0.002289	
0.011749	-0.003815	0.766461	0.045930	0.066682	0.001984	
0.012055	-0.004730	0.765240	0.043793	0.067292	0.001678	
0.011139	-0.003815	0.764630	0.042573	0.067903	0.001373	
0.011444	-0.005035	0.763104	0.042267	0.069429	0.000458	
0.009918	-0.004425	0.762493	0.041047	0.068513	0.001068	
0.009918	-0.006256	0.763104	0.040436	0.071260	0.000458	
0.009308	-0.005035	0.764324	0.038911	0.072786	0.001373	
0.009003	-0.006561	0.766766	0.037995	0.074311	0.001373	
0.008087	-0.006867	0.767987	0.036469	0.076448	0.001678	
0.005951	-0.006867	0.767681	0.036164	0.076448	0.001984	
0.005951	-0.008087	0.768292	0.034333	0.077974	0.001984	
0.004425	-0.008087	0.769818	0.033722	0.078584	0.001984	
0.003204	-0.009003	0.771038	0.033417	0.079499	0.002289	
0.003204	-0.009308	0.770733	0.032197	0.082246	0.002899	
0.001373	-0.009308	0.771038	0.031281	0.081636	0.002899	
0.001678	-0.010834	0.769818	0.030976	0.084077	0.002899	
0.001678	-0.009308	0.769818	0.030976	0.084382	0.003510	
0.001678	-0.010529	0.770428	0.030060	0.084382	0.003204	
0.001678	-0.010834	0.768597	0.029145	0.084993	0.002289	
0.001678	-0.011139	0.768902	0.029145	0.086213	0.003204	
